True_positive,False_positive,Relatedness,Coverage,Method,Ascertainment,Contamination,ROH
0.9402777777777777,0.01884057971014494,2nd Degree,4.0,KIN,2,0,0
1.0,0.0008764241893075751,1st Degree,4.0,KIN,2,0,0
1.0,0.0,Identical,4.0,KIN,2,0,0
1.0,0.0,Parent-Child,4.0,KIN,2,0,0
1.0,0.008264462809917326,Siblings,4.0,KIN,2,0,0
0.9970873786407767,0.004526641270949032,Unrelated w/o 3rd Degree,4.0,READ,2,0,0
0.9166666666666666,0.011946465463037736,2nd Degree,4.0,READ,2,0,0
1.0,0.0,1st Degree,4.0,READ,2,0,0
1.0,0.0,Identical,4.0,READ,2,0,0
0.9799645390070922,0.0062927004674576984,Unrelated,0.2,KIN,2,0,0
0.6888888888888889,0.07231920199501247,3rd Degree,0.2,KIN,2,0,0
0.9940129449838189,0.0017874553136171965,Unrelated w/o 3rd Degree,0.2,KIN,2,0,0
0.9444444444444443,0.010189228529839925,2nd Degree,0.2,KIN,2,0,0
1.0,0.0,1st Degree,0.2,KIN,2,0,0
1.0,0.0,Identical,0.2,KIN,2,0,0
1.0,0.0,Parent-Child,0.2,KIN,2,0,0
1.0,0.0,Siblings,0.2,KIN,2,0,0
0.9966019417475728,0.004683273055181213,Unrelated w/o 3rd Degree,0.2,READ,2,0,0
0.8930833333333332,0.010799335425512356,2nd Degree,0.2,READ,2,0,0
1.0,0.0,1st Degree,0.2,READ,2,0,0
1.0,0.0,Identical,0.2,READ,2,0,0
0.9820921985815603,0.007347670250896098,Unrelated,0.1,KIN,2,0,0
0.6722222222222223,0.0668380462724936,3rd Degree,0.1,KIN,2,0,0
0.9953074433656958,0.0024326954265325986,Unrelated w/o 3rd Degree,0.1,KIN,2,0,0
0.9291666666666667,0.007418397626112813,2nd Degree,0.1,KIN,2,0,0
1.0,0.0,1st Degree,0.1,KIN,2,0,0
1.0,0.0,Identical,0.1,KIN,2,0,0
1.0,0.0,Parent-Child,0.1,KIN,2,0,0
1.0,0.0,Siblings,0.1,KIN,2,0,0
0.9962815533980584,0.004201843765162609,Unrelated w/o 3rd Degree,0.1,READ,2,0,0
0.8555833333333333,0.00320388349514558,2nd Degree,0.1,READ,2,0,0
1.0,0.0,1st Degree,0.1,READ,2,0,0
1.0,0.0,Identical,0.1,READ,2,0,0
0.9843971631205674,0.01227539583703973,Unrelated,0.05,KIN,2,0,0
0.4981481481481482,0.13504823151125406,3rd Degree,0.05,KIN,2,0,0
0.9948220064724917,0.004855940433797345,Unrelated w/o 3rd Degree,0.05,KIN,2,0,0
0.8611111111111112,0.012738853503184667,2nd Degree,0.05,KIN,2,0,0
1.0,0.0,1st Degree,0.05,KIN,2,0,0
1.0,0.0,Identical,0.05,KIN,2,0,0
1.0,0.0,Parent-Child,0.05,KIN,2,0,0
1.0,0.0,Siblings,0.05,KIN,2,0,0
0.9932038834951458,0.0069600163079879904,Unrelated w/o 3rd Degree,0.05,READ,2,0,0
0.7221898175152069,0.007671170139684013,2nd Degree,0.05,READ,2,0,0
0.9973684210526316,0.0,1st Degree,0.05,READ,2,0,0
1.0,0.0,Identical,0.05,READ,2,0,0
