True_positive,False_positive,Relatedness,Coverage,Method,Ascertainment,Contamination,ROH
1.0,0.0,Unrelated w/o 3rd Degree,0.2,READ,2,0,0
0.89,0.01,2nd Degree,0.2,READ,2,0,0
1.0,0.0,1st Degree,0.2,READ,2,0,0
1.0,0.0,Identical,0.2,READ,2,0,0
0.98,0.01,Unrelated,0.1,KIN,2,0,0
0.67,0.07,3rd Degree,0.1,KIN,2,0,0
1.0,0.0,Unrelated w/o 3rd Degree,0.1,KIN,2,0,0
0.93,0.01,2nd Degree,0.1,KIN,2,0,0
1.0,0.0,1st Degree,0.1,KIN,2,0,0
1.0,0.0,Identical,0.1,KIN,2,0,0
1.0,0.0,Parent-Child,0.1,KIN,2,0,0
1.0,0.0,Siblings,0.1,KIN,2,0,0
1.0,0.0,Unrelated w/o 3rd Degree,0.1,READ,2,0,0
0.86,0.0,2nd Degree,0.1,READ,2,0,0
1.0,0.0,1st Degree,0.1,READ,2,0,0
1.0,0.0,Identical,0.1,READ,2,0,0
0.99,0.01,Unrelated,0.05,KIN,2,0,0
0.51,0.14,3rd Degree,0.05,KIN,2,0,0
1.0,0.01,Unrelated w/o 3rd Degree,0.05,KIN,2,0,0
0.86,0.01,2nd Degree,0.05,KIN,2,0,0
1.0,0.0,1st Degree,0.05,KIN,2,0,0
1.0,0.0,Identical,0.05,KIN,2,0,0
1.0,0.0,Parent-Child,0.05,KIN,2,0,0
1.0,0.0,Siblings,0.05,KIN,2,0,0
0.99,0.01,Unrelated w/o 3rd Degree,0.05,READ,2,0,0
0.72,0.01,2nd Degree,0.05,READ,2,0,0
1.0,0.0,1st Degree,0.05,READ,2,0,0
1.0,0.0,Identical,0.05,READ,2,0,0
