,Relatedness KIn,Log liklihood ratio (KIn),Relatedness READ,Z_upper (READ),Z_lower (READ),Relatedness lcMLkin,pair,nSNPs
159,First Degree,0.01768182725509959,IdenticalTwins/SameIndividual,0.443382367147,,too low coverage,FMW_OBKR6,41
160,Third Degree,0.1097546588750049,Unrelated,,-1.55316508712,too low coverage,FMW_OBKR80,814
161,First Degree,0.12064574499818105,IdenticalTwins/SameIndividual,0.308819454422,,too low coverage,FMW_OBKR82,17
162,First Degree,0.1603101886160463,IdenticalTwins/SameIndividual,0.0543567801057,,too low coverage,FMW_OBKR84,23
163,Second Degree,0.1919043236139899,Unrelated,,-0.093272972744,too low coverage,FMW_OBKR96,134
164,Third Degree,0.008980430506149162,Unrelated,,-0.389454655849,too low coverage,FMW_OTTM152,71
165,First Degree,0.05697782232608972,Second Degree,0.616302968322,-0.225990314381,too low coverage,FMW_OTTM156,193
166,Third Degree,0.04118920171683271,Unrelated,,-0.593531767714,too low coverage,FMW_OTTM165,155
167,Second Degree,0.10935980665870204,Unrelated,,-0.3681395442,too low coverage,FMW_OTTM84,263
168,Third Degree,0.0925990483245016,Unrelated,,-0.99772122777,too low coverage,FMW_OTTM87,482
169,Third Degree,0.016998586786968417,Unrelated,,-0.454184056973,too low coverage,FMW_OTTM91,92
170,First Degree,0.10674138521020103,IdenticalTwins/SameIndividual,0.342670972085,,too low coverage,FMW_OTTM92,24
171,IdenticalTwins/SameIndividual,0.12257593998137215,First Degree,0.304765060459,-0.0304858316434,too low coverage,FMW_OTTM97,11
172,Third Degree,0.004046767661662898,Unrelated,,-0.622718726318,too low coverage,FMW_POST28,584
173,First Degree,0.547969632785545,IdenticalTwins/SameIndividual,0.0178548930275,,too low coverage,FMW_POST47,82
174,Second Degree,0.04819416371594798,First Degree,0.130804297382,-0.506628483563,too low coverage,FMW_UNTA121FK61,48
175,Third Degree,0.033981447598080194,Unrelated,,-0.668289935148,too low coverage,FMW_UNTA851336,149
176,Second Degree,0.055470860186630944,Unrelated,,-0.67799009101,too low coverage,HUGO167_OBKR6,1073
177,Third Degree,0.014537845790584925,Unrelated,,-0.723376527066,too low coverage,HUGO167_OBKR82,506
178,Second Degree,0.09021439979672152,Unrelated,,-0.0288228322929,too low coverage,HUGO167_OTTM100,258
179,Second Degree,0.6197694305379855,Unrelated,,-0.535103109458,too low coverage,HUGO167_OTTM109,660
180,Second Degree,0.12635684868519093,Unrelated,,-0.317594753113,too low coverage,HUGO167_OTTM141,900
181,Third Degree,0.05701291482307624,Unrelated,,-0.136754456587,too low coverage,HUGO167_OTTM79,370
182,Third Degree,0.04481156977202262,Unrelated,,-0.570656276447,too low coverage,HUGO167_OTTM97,242
183,Second Degree,0.3509327858093059,Unrelated,,-0.0523987571242,too low coverage,HUGO167_UNTA58149,785
184,Third Degree,0.10988920438148853,Unrelated,,-1.71577924922,too low coverage,HUGO167_UNTA58152,2016
185,Second Degree,0.6618644261410509,Unrelated,,-0.572964330053,too low coverage,HUGO167_UNTA851336,3366
186,Second Degree,0.7736918572215927,Unrelated,,-0.204491289596,too low coverage,HUGO167_UNTA89FK231,1006
187,Third Degree,0.1819083144187061,Unrelated,,-2.61696950805,too low coverage,HUGO167_WEHR1414,4935
188,Third Degree,0.09629035657280838,Unrelated,,-0.842632079424,too low coverage,OBKR47_OTTM100,599
189,Second Degree,0.12512506299165693,Unrelated,,-0.200845265976,too low coverage,OBKR47_OTTM110,492
190,Third Degree,0.03081457733489401,Unrelated,,-1.1832928552,too low coverage,OBKR47_OTTM141A,395
191,Third Degree,0.2269109359976369,Unrelated,,-1.05088087813,too low coverage,OBKR47_OTTM79,753
192,Third Degree,0.8236909367113299,Unrelated,,-0.446030370948,too low coverage,OBKR47_OTTM91,4178
193,Third Degree,0.16343549229662813,Unrelated,,-1.18179731587,too low coverage,OBKR47_UNTA121FK61,1502
194,Third Degree,0.5041765027190195,Unrelated,,-1.41437723282,too low coverage,OBKR47_WEHR1193,4567
195,Third Degree,0.5751734805039064,Unrelated,,-0.267705570334,too low coverage,OBKR6_OBKR81,3381
196,Second Degree,0.2549769636407291,Unrelated,,-0.182697053407,too low coverage,OBKR6_OBKR82,877
197,Third Degree,0.026388493303784344,Unrelated,,-1.14363687483,too low coverage,OBKR6_OTTM152,2570
198,Second Degree,0.2052620423951339,Unrelated,,-0.199372522511,too low coverage,OBKR6_OTTM92,745
199,Third Degree,0.0952493897004274,Unrelated,,-0.158118896295,too low coverage,OBKR6_OTTM97,383
