,Wins,Prop,True,Unrelated,degree3,Degree2,Parent-Child,Siblings,Identical
152,153,0.022419729954315477,1.0,1.0,0.75,0.75,0.75,1.0,0.5
153,154,0.016976279010393502,0.75,1.0,0.75,0.75,0.75,0.75,0.5
154,155,0.017165868831493486,0.75,1.0,0.75,0.75,0.75,0.75,0.5
155,156,0.01782078333121657,1.0,1.0,0.75,0.75,0.75,0.75,0.5
156,157,0.01656518491194872,0.75,1.0,0.75,0.75,0.75,0.75,0.5
157,158,0.013938639499622131,0.75,1.0,0.75,0.75,0.75,0.75,0.5
158,159,0.015344677355626255,0.75,1.0,0.75,0.75,0.75,0.75,0.5
159,160,0.017963635241416052,1.0,1.0,0.75,0.75,0.75,0.75,0.5
160,161,0.013793500418220035,0.5,1.0,0.75,0.75,0.75,0.75,0.5
161,162,0.016444275728521012,0.75,1.0,0.75,0.75,0.75,0.75,0.5
162,163,0.010602390047353357,0.5,1.0,0.75,0.75,0.75,0.5,0.5
163,164,0.012377276975294777,0.5,1.0,0.75,0.75,0.75,0.5,0.5
164,165,0.013492317161033844,0.75,1.0,0.75,0.75,0.75,0.75,0.5
165,166,0.015187174424700769,0.75,1.0,0.75,0.75,0.75,0.75,0.5
166,167,0.021967718058143574,0.75,1.0,1.0,1.0,0.75,1.0,0.5
167,168,0.024076290026860167,1.0,1.0,1.0,1.0,0.75,1.0,0.5
168,169,0.016126678946305293,0.5,1.0,0.75,0.75,0.75,0.75,0.5
169,170,0.01163325925479694,0.75,1.0,0.75,0.75,0.75,0.75,0.5
170,171,0.01433636304674988,0.75,1.0,0.75,0.75,0.75,0.75,0.5
171,172,0.015927145574539926,0.75,1.0,0.75,0.75,0.75,0.75,0.5
172,173,0.019080467133742392,1.0,1.0,1.0,1.0,0.75,1.0,0.5
173,174,0.024736083802387725,1.0,1.0,1.0,1.0,0.75,1.0,0.5
174,175,0.022389522221071857,1.0,1.0,1.0,1.0,0.75,1.0,0.5
175,176,0.022306682472074,1.0,1.0,1.0,1.0,0.75,1.0,0.5
176,177,0.02113895603541749,1.0,1.0,1.0,1.0,0.75,1.0,0.5
177,178,0.01842518565349678,1.0,1.0,1.0,1.0,0.75,1.0,0.5
178,179,0.02238144193677791,1.0,1.0,1.0,1.0,0.75,1.0,0.5
179,180,0.02090655048408371,1.0,1.0,1.0,1.0,0.75,1.0,0.5
180,181,0.01127103723731949,0.5,1.0,0.75,0.75,0.75,0.5,0.5
181,182,0.012740649572410149,0.5,1.0,0.75,0.75,0.75,0.5,0.5
182,183,0.016443085100598154,0.75,1.0,0.75,0.75,0.75,0.75,0.5
183,184,0.019129715292758753,0.75,1.0,0.75,0.75,0.75,0.75,0.5
184,185,0.014599290220027292,0.75,1.0,0.75,0.75,0.75,0.75,0.5
185,186,0.021107591197097375,1.0,1.0,0.75,0.75,0.75,1.0,0.5
186,187,0.0185072058919679,1.0,1.0,0.75,0.75,0.75,0.75,0.5
187,188,0.01269047910242186,0.75,1.0,0.75,0.75,0.75,0.75,0.5
188,189,0.018739711941454365,0.75,1.0,1.0,1.0,0.75,1.0,0.5
189,190,0.02395752447635099,1.0,1.0,1.0,1.0,0.75,1.0,0.5
190,191,0.02100888147284266,1.0,1.0,1.0,1.0,0.75,1.0,0.5
191,192,0.016753221136053202,0.75,1.0,0.75,0.75,0.75,0.75,0.5
192,193,0.0159962813100661,0.5,1.0,0.75,0.75,0.75,0.75,0.5
193,194,0.011880138866491486,0.5,1.0,0.75,0.75,0.75,0.5,0.5
194,195,0.01181866058488025,0.5,1.0,0.75,0.75,0.75,0.5,0.5
195,196,0.014810215642539065,0.75,1.0,0.75,0.75,0.75,0.75,0.5
196,197,0.018820258770517816,0.75,1.0,1.0,1.0,0.75,1.0,0.5
197,198,0.02156170964586108,1.0,1.0,1.0,1.0,0.75,1.0,0.5
198,199,0.022047569557104164,1.0,1.0,1.0,1.0,0.75,1.0,0.5
199,200,0.021954426926461493,1.0,1.0,1.0,1.0,0.75,1.0,0.5
200,201,0.02288945400174215,1.0,1.0,1.0,1.0,0.75,1.0,0.5
201,202,0.01961097683788944,1.0,1.0,1.0,1.0,0.75,1.0,0.5
202,203,0.017965989424689584,1.0,1.0,1.0,1.0,0.75,1.0,0.5
203,204,0.01773036990815926,1.0,1.0,1.0,1.0,0.75,1.0,0.5
204,205,0.02368352474981531,1.0,1.0,1.0,1.0,0.75,1.0,0.5
205,206,0.01380257835544691,0.75,1.0,1.0,0.75,0.75,0.75,0.5
206,207,0.01916791815766332,0.75,1.0,1.0,0.75,0.75,0.75,0.5
207,208,0.019232393087164876,0.75,1.0,1.0,0.75,0.75,0.75,0.5
208,209,0.016308891982346693,0.75,1.0,1.0,0.75,0.75,0.75,0.5
209,210,0.01937511392206214,0.75,1.0,1.0,1.0,0.75,1.0,0.5
210,211,0.019341451811143266,1.0,1.0,1.0,1.0,0.75,1.0,0.5
211,212,0.022694581759121275,1.0,1.0,1.0,1.0,0.75,1.0,0.5
212,213,0.02297179933515734,1.0,1.0,1.0,1.0,0.75,1.0,0.5
213,214,0.01957572421604679,1.0,1.0,1.0,1.0,0.75,1.0,0.5
214,215,0.013377150886853189,0.5,1.0,0.75,0.75,0.75,0.75,0.5
215,216,0.012125596932383046,0.5,1.0,0.75,0.75,0.75,0.5,0.5
216,217,0.007830214026887924,0.5,1.0,0.75,0.75,0.75,0.5,0.5
217,218,0.009845790036837766,0.5,1.0,0.75,0.75,0.75,0.5,0.5
218,219,0.013070683990018034,0.75,1.0,0.75,0.75,0.75,0.5,0.5
219,220,0.01501611269758345,0.75,1.0,0.75,0.75,0.75,0.75,0.5
