pair,rel,run,accuracy,cov
0_1,un,10,1.0,0.2
0_1,un,10,1.0,0.1
0_1,un,10,1.0,0.05
0_1,un,10,1.0,0.03
0_1,un,11,1.0,4.0
0_1,un,11,1.0,0.5
0_1,un,11,1.0,0.2
0_1,un,11,1.0,0.1
0_1,un,11,1.0,0.05
0_1,un,11,1.0,0.03
0_1,un,12,1.0,4.0
0_1,un,12,1.0,0.5
0_1,un,12,1.0,0.2
0_1,un,12,1.0,0.1
0_1,un,12,1.0,0.05
0_1,un,12,1.0,0.03
0_1,un,13,1.0,4.0
0_1,un,13,1.0,0.5
0_1,un,13,1.0,0.2
0_1,un,13,1.0,0.1
0_1,un,13,1.0,0.05
0_1,un,13,0.9954545454545455,0.03
0_1,un,14,1.0,4.0
0_1,un,14,1.0,0.5
0_1,un,14,1.0,0.2
0_1,un,14,1.0,0.1
0_1,un,14,0.9954545454545455,0.05
0_1,un,14,1.0,0.03
0_1,un,15,0.990909090909091,4.0
0_1,un,15,0.9954545454545455,0.5
0_1,un,15,1.0,0.2
0_1,un,15,1.0,0.1
0_1,un,15,0.9954545454545455,0.05
0_1,un,15,1.0,0.03
0_1,un,16,1.0,4.0
0_1,un,16,0.9954545454545455,0.5
0_1,un,16,1.0,0.2
0_1,un,16,0.9954545454545455,0.1
0_1,un,16,1.0,0.05
0_1,un,16,1.0,0.03
0_1,un,17,1.0,4.0
0_1,un,17,1.0,0.5
0_1,un,17,1.0,0.2
0_1,un,17,0.9954545454545455,0.1
0_1,un,17,1.0,0.05
0_1,un,17,1.0,0.03
0_1,un,18,0.9954545454545455,4.0
0_1,un,18,1.0,0.5
0_1,un,18,1.0,0.2
0_1,un,18,1.0,0.1
0_1,un,18,1.0,0.05
0_1,un,18,1.0,0.03
0_1,un,19,0.9954545454545455,4.0
0_1,un,19,0.9954545454545455,0.5
0_1,un,19,0.9954545454545455,0.2
0_1,un,19,0.9954545454545455,0.1
0_1,un,19,1.0,0.05
0_1,un,19,1.0,0.03
0_1,un,20,0.9954545454545455,4.0
0_1,un,20,1.0,0.5
0_1,un,20,1.0,0.2
0_1,un,20,0.9954545454545455,0.1
0_1,un,20,1.0,0.05
0_1,un,20,1.0,0.03
0_1,un,21,0.990909090909091,4.0
0_1,un,21,0.990909090909091,0.5
0_1,un,21,0.9954545454545455,0.2
0_1,un,21,1.0,0.1
0_1,un,21,0.9954545454545455,0.05
0_1,un,21,0.990909090909091,0.03
0_1,un,22,1.0,4.0
0_1,un,22,1.0,0.5
0_1,un,22,0.9954545454545455,0.2
0_1,un,22,1.0,0.1
0_1,un,22,1.0,0.05
0_1,un,22,1.0,0.03
0_1,un,23,1.0,4.0
0_1,un,23,1.0,0.5
0_1,un,23,1.0,0.2
0_1,un,23,1.0,0.1
0_1,un,23,1.0,0.05
0_1,un,23,1.0,0.03
0_1,un,24,1.0,4.0
0_1,un,24,1.0,0.5
0_1,un,24,1.0,0.2
0_1,un,24,1.0,0.1
0_1,un,24,1.0,0.05
0_1,un,24,1.0,0.03
0_1,un,25,1.0,4.0
0_1,un,25,1.0,0.5
0_1,un,25,1.0,0.2
0_1,un,25,1.0,0.1
0_1,un,25,1.0,0.05
0_1,un,25,1.0,0.03
0_1,un,26,1.0,4.0
0_1,un,26,1.0,0.5
0_1,un,26,1.0,0.2
0_1,un,26,1.0,0.1
0_1,un,26,1.0,0.05
0_1,un,26,0.9954545454545455,0.03
0_1,un,27,0.9863636363636363,4.0
0_1,un,27,0.9954545454545455,0.5
0_1,un,27,0.9954545454545455,0.2
0_1,un,27,1.0,0.1
0_1,un,27,1.0,0.05
0_1,un,27,1.0,0.03
0_1,un,28,1.0,4.0
0_1,un,28,1.0,0.5
0_1,un,28,1.0,0.2
0_1,un,28,1.0,0.1
0_1,un,28,1.0,0.05
0_1,un,28,0.9954545454545455,0.03
0_1,un,29,1.0,4.0
0_1,un,29,1.0,0.5
0_1,un,29,1.0,0.2
0_1,un,29,1.0,0.1
0_1,un,29,0.9954545454545455,0.05
0_1,un,29,1.0,0.03
0_1,un,30,1.0,4.0
0_1,un,30,1.0,0.5
0_1,un,30,1.0,0.2
0_1,un,30,1.0,0.1
0_1,un,30,1.0,0.05
0_1,un,30,1.0,0.03
0_1,un,31,1.0,4.0
0_1,un,31,1.0,0.5
0_1,un,31,1.0,0.2
0_1,un,31,1.0,0.1
0_1,un,31,1.0,0.05
0_1,un,31,1.0,0.03
0_1,un,32,1.0,4.0
0_1,un,32,1.0,0.5
0_1,un,32,1.0,0.2
0_1,un,32,1.0,0.1
0_1,un,32,1.0,0.05
0_1,un,32,1.0,0.03
0_1,un,33,0.9954545454545455,4.0
0_1,un,33,0.9954545454545455,0.5
0_1,un,33,1.0,0.2
0_1,un,33,1.0,0.1
0_1,un,33,1.0,0.05
0_1,un,33,1.0,0.03
0_1,un,34,1.0,4.0
0_1,un,34,1.0,0.5
0_1,un,34,1.0,0.2
0_1,un,34,1.0,0.1
0_1,un,34,1.0,0.05
0_1,un,34,0.9954545454545455,0.03
0_1,un,35,1.0,4.0
0_1,un,35,1.0,0.5
0_1,un,35,1.0,0.2
0_1,un,35,0.9954545454545455,0.1
0_1,un,35,1.0,0.05
0_1,un,35,1.0,0.03
0_1,un,36,0.9954545454545455,4.0
0_1,un,36,0.9954545454545455,0.5
0_1,un,36,0.9954545454545455,0.2
0_1,un,36,0.9954545454545455,0.1
0_1,un,36,0.9954545454545455,0.05
0_1,un,36,1.0,0.03
0_1,un,37,1.0,4.0
0_1,un,37,1.0,0.5
0_1,un,37,1.0,0.2
0_1,un,37,1.0,0.1
0_1,un,37,1.0,0.05
0_1,un,37,0.9954545454545455,0.03
0_1,un,38,1.0,4.0
0_1,un,38,1.0,0.5
0_1,un,38,1.0,0.2
0_1,un,38,1.0,0.1
0_1,un,38,1.0,0.05
0_1,un,38,0.9954545454545455,0.03
0_1,un,39,0.990909090909091,4.0
0_1,un,39,0.990909090909091,0.5
0_1,un,39,1.0,0.2
0_1,un,39,1.0,0.1
0_1,un,39,1.0,0.05
0_1,un,39,1.0,0.03
0_1,un,40,1.0,4.0
